originalRelease,originalNamespace,originalTypeName,changeCode,issue,release,namespace,typeName,definition,parentType,baseType,contentStyle,simpleStyle,isAssociation,isAugmentation,isAdapter,isMetadata
5.1,,,add,,5.2,usmtf,AddresseeType,A data type for a person to whom a message is addressed.,,usmtf:AddresseeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AddressResidentialSimpleType,A data type for a complete address of the residence of subject human being.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AddressResidentialType,A data type for a complete address of the residence of subject human being.,,usmtf:AddressResidentialSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AddressSimpleType,A data type for an address associated with a person or thing.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AddressType,A data type for an address associated with a person or thing.,,usmtf:AddressSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AdequacyLevelCodeSimpleType,A data type for the degree of adequacy.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AdequacyLevelCodeType,A data type for the degree of adequacy.,,usmtf:AdequacyLevelCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AdjustmentCodeSimpleType,A data type for an indicator of specific standard procedures to be used during the attack of the target.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AdjustmentCodeType,A data type for an indicator of specific standard procedures to be used during the attack of the target.,,usmtf:AdjustmentCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,usmtf,AdministrativeControlNameSimpleType,A data type for an administrative control name assigned to an organization.,,xs:string,S,atomic,,FALSE,FALSE,FALSE
